CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;801                 
First;0,000000000000E+00
Delta;5,000000000000E-01
AxisUnit;Hz
AxisValueExists;1
Signals;3
Date;06/14/2023 13:15:11

Name;Signal 2;Signal 3;Signal 4
FunctionType;SpectrumFrfH1;SpectrumFrfH1;SpectrumFrfH1
FrfMode;H1;H1;H1
Unit;(m/s^2)/N;(m/s^2)/N;(m/s^2)/N
SpectralUnit;RMS;RMS;RMS
TimeWeighting;Hanning;Hanning;Hanning
NoiseBandWidth;1,5;1,5;1,5

';Signal 2 (Real);Signal 2 (Imag.);Signal 3 (Real);Signal 3 (Imag.);Signal 4 (Real);Signal 4 (Imag.)
';(m/s^2)/N;(m/s^2)/N;(m/s^2)/N;(m/s^2)/N;(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;-3,061725E+01;0,000000E+00;-1,539884E+01;0,000000E+00;-8,932821E+01;0,000000E+00
5,000000000000E-01;-1,208014E+01;-2,286387E+00;-5,734186E+00;-2,634671E+00;-3,116034E+01;1,404515E+01
1,000000000000E+00;-1,844940E-01;5,119789E-02;2,526289E-01;2,414568E-01;7,837982E-01;6,611634E-01
1,500000000000E+00;-9,225018E-02;-3,835990E-02;3,534302E-02;1,305093E-02;4,000203E-01;-4,247867E-01
2,000000000000E+00;-2,455620E-02;-1,958477E-02;3,004242E-03;2,112083E-03;2,436431E-01;1,263091E-01
2,500000000000E+00;-1,207301E-02;-5,820575E-03;6,633186E-03;-6,987784E-04;1,904375E-02;1,050569E-01
3,000000000000E+00;-3,363678E-03;-2,474785E-03;-3,647844E-03;-2,497118E-03;-2,863255E-02;3,712388E-02
3,500000000000E+00;-1,933931E-03;2,680880E-04;-4,338133E-03;-1,951638E-03;-4,130260E-03;1,088752E-05
4,000000000000E+00;-2,443176E-03;-7,893570E-04;-3,001308E-03;-1,189899E-03;1,484531E-03;-9,579678E-03
4,500000000000E+00;-2,686774E-03;1,039749E-04;-3,188469E-03;-4,620408E-04;-8,897414E-04;-8,076753E-03
5,000000000000E+00;-4,120505E-03;9,858124E-04;-3,822678E-03;4,431919E-04;-7,007054E-03;-2,709227E-03
5,500000000000E+00;-4,110278E-03;8,514265E-04;-4,961633E-03;-4,211615E-05;-9,782020E-03;-1,377205E-03
6,000000000000E+00;-4,995415E-03;3,263168E-04;-5,994218E-03;-3,965063E-04;-8,791836E-03;-5,253344E-04
6,500000000000E+00;-6,233759E-03;1,470977E-04;-7,038050E-03;-2,490817E-04;-7,483530E-03;2,523676E-03
7,000000000000E+00;-6,985090E-03;1,343339E-04;-8,496449E-03;-2,019956E-04;-1,081701E-02;2,373134E-03
7,500000000000E+00;-7,725104E-03;-2,738660E-04;-1,019515E-02;3,411509E-04;-1,236459E-02;-3,051865E-05
8,000000000000E+00;-9,545797E-03;-8,176755E-05;-1,124010E-02;-2,075097E-04;-1,154597E-02;7,717550E-05
8,500000000000E+00;-1,018480E-02;2,354881E-04;-1,207288E-02;-9,578851E-04;-1,386441E-02;7,688975E-04
9,000000000000E+00;-1,116411E-02;1,240461E-03;-1,399099E-02;-6,734874E-04;-1,608973E-02;-7,129256E-04
9,500000000000E+00;-1,349191E-02;8,817013E-04;-1,711888E-02;8,023750E-04;-1,856129E-02;-6,015723E-04
1,000000000000E+01;-1,500242E-02;-1,463584E-04;-1,910961E-02;5,483273E-04;-2,231719E-02;-1,164499E-03
1,050000000000E+01;-1,693925E-02;-4,185910E-04;-2,139334E-02;2,401028E-04;-2,501195E-02;1,020412E-04
1,100000000000E+01;-1,920882E-02;2,812953E-04;-2,552704E-02;1,483466E-04;-2,828433E-02;4,344316E-04
1,150000000000E+01;-2,262331E-02;-1,244311E-04;-2,880354E-02;-1,227884E-04;-3,107035E-02;1,357361E-03
1,200000000000E+01;-2,503777E-02;-6,618053E-04;-3,334151E-02;5,616456E-04;-3,245119E-02;1,887844E-03
1,250000000000E+01;-2,762683E-02;1,933240E-04;-3,657985E-02;1,799929E-03;-3,636408E-02;-1,226840E-03
1,300000000000E+01;-3,219939E-02;1,552319E-03;-4,193382E-02;1,238726E-03;-4,460607E-02;-9,577805E-04
1,350000000000E+01;-3,630438E-02;1,500432E-03;-4,686258E-02;5,680909E-04;-5,078364E-02;2,247686E-03
1,400000000000E+01;-4,044855E-02;2,765877E-04;-5,340067E-02;5,923948E-04;-5,725743E-02;1,353843E-03
1,450000000000E+01;-4,547289E-02;-7,497844E-05;-6,209265E-02;1,478418E-03;-6,577376E-02;1,050119E-03
1,500000000000E+01;-5,153474E-02;4,265372E-04;-7,100371E-02;1,930356E-03;-7,894906E-02;2,232352E-03
1,550000000000E+01;-5,840290E-02;8,048306E-04;-8,043069E-02;1,464734E-03;-9,040039E-02;3,878657E-03
1,600000000000E+01;-6,750923E-02;2,164053E-03;-9,606958E-02;1,329258E-03;-1,069396E-01;5,808137E-03
1,650000000000E+01;-7,899319E-02;2,360222E-03;-1,123326E-01;2,586432E-03;-1,259538E-01;3,903675E-03
1,700000000000E+01;-9,052256E-02;1,571071E-03;-1,284136E-01;3,346471E-03;-1,447840E-01;2,769142E-03
1,750000000000E+01;-1,149899E-01;4,087416E-03;-1,663005E-01;6,359740E-03;-1,881824E-01;5,984230E-03
1,800000000000E+01;-1,437824E-01;6,321219E-03;-2,110012E-01;8,982690E-03;-2,399990E-01;1,105920E-02
1,850000000000E+01;-1,742025E-01;8,693038E-03;-2,587767E-01;1,268986E-02;-2,956883E-01;1,585504E-02
1,900000000000E+01;-2,367055E-01;1,722372E-02;-3,556856E-01;2,564752E-02;-4,095160E-01;2,906516E-02
1,950000000000E+01;-3,592527E-01;2,827758E-02;-5,469151E-01;4,446266E-02;-6,349985E-01;5,029333E-02
2,000000000000E+01;-6,442521E-01;9,166299E-02;-9,959052E-01;1,436965E-01;-1,161721E+00;1,674295E-01
2,050000000000E+01;1,581737E-01;3,293765E-01;2,697314E-01;5,208823E-01;3,246813E-01;6,124902E-01
2,100000000000E+01;8,451095E-01;1,677936E-01;1,355740E+00;2,664473E-01;1,603132E+00;3,122569E-01
2,150000000000E+01;4,668186E-01;3,986116E-02;7,580532E-01;6,362522E-02;9,028259E-01;7,385735E-02
2,200000000000E+01;3,368100E-01;2,076042E-02;5,539562E-01;3,418769E-02;6,638788E-01;3,810165E-02
